Agreement System ID,Agreement Number,Comment Type,Comment Date,Comment Text
,100-100-10001,ACRES,3/28/2022,"ORIGINAL GROSS ACRES AND LEASE GROSS ACRES AREN'T THE SAME BECAUSE THE LEASE STATES 160 ACRES, BUT THE VERIFIED SURVEYED GROSS ACREAGE IS 159.28."
,100-100-10001,OWNERSHIP INFORMATION,3/28/2022,A 6.278521% MI IN THIS LEASE WAS ALSO ACQUIRED VIA THE NRI ACQUISITION - SEE LEASE #101-100001-L14.
,100-100-10002,ACRES,1/17/2022,"NRI REPRESENTED 20 GROSS, 20 NMA AND 32 NRA, BUT PATTON ACQUISITION DUE DILIGENCE REPORT SHOWS VERIFIED ACREAGE AS 20.306 GROSS, 20.306 NMA AND NRA NOT CALCULATED BECAUSE PATTON DIDN'T HAVE OGL COPY. I USED THE VERIFIED ACREAGE, BUT THE ACQUISITION COST WAS BASED ON NRI'S ACREAGE."
,100-100-10002,MISCELLANEOUS,10/6/2021,BOLO TR #2/P/O EXH A TR #40/EXH B TR #1
,100-100-10002,NET ROYALTY ACRES,10/4/2021,"ACQUISITION COST BASED ON 32 NRA @ $10,305/NRA."
,100-100-10002,TRACT STATUS,1/17/2022,"TRACT STATUS IS MINERALS LEASED - PRODUCING AS TO ALL DEPTHS BELOW THE HAYNESVILLE BECAUSE THIS INTEREST IS TIED TO AN OGL HELD BY ACTIVE, PRODUCING WELLS - SEE LEASE #101-100003-L2. TRACT STATUS FROM THE SURFACE TO HAYNESVILLE IS MINERALS UNLEASED."
,100-100-10002,ACRES,1/17/2022,"NRI REPRESENTED 35 GROSS, 35 NMA AND 48 NRA, BUT PATTON ACQUISITION DUE DILIGENCE REPORT SHOWS VERIFIED ACREAGE AS 35.33 GROSS, 35.33 NMA AND NRA NOT CALCULATED BECAUSE PATTON DIDN'T HAVE OGL COPY. I USED THE VERIFIED ACREAGE, BUT THE ACQUISITION COST WAS BASED ON NRI'S ACREAGE."
